country,status,fuel,region,owner,year,capacity,id
country_53,status_0,fuel_6,region_1,owner_833,year_0,2.462,0
country_114,status_2,fuel_2,region_0,owner_1002,year_2,0.110,1
country_18,status_2,fuel_0,region_2,owner_3,year_2,1.882,2
country_34,status_0,fuel_2,region_1,owner_220,year_3,2.700,3
country_81,status_2,fuel_10,region_2,owner_105,year_5,5.142,4
country_44,status_0,fuel_0,region_1,owner_414,year_15,1.579,5
country_45,status_0,fuel_0,region_1,owner_98,year_21,20.769,6
country_19,status_2,fuel_0,region_2,owner_1114,year_0,1.731,7
country_83,status_0,fuel_1,region_0,owner_216,year_4,113.814,8
country_0,status_2,fuel_0,region_0,owner_299,year_6,1.117,9
country_8,status_0,fuel_2,region_4,owner_1631,year_4,5.050,10
country_3,status_0,fuel_3,region_6,owner_1154,year_2,27.873,11
country_3,status_4,fuel_7,region_4,owner_159,year_12,56.344,12
country_29,status_0,fuel_5,region_2,owner_1210,year_7,0.327,13
country_2,status_1,fuel_9,region_2,owner_1050,year_3,1.484,14
country_29,status_0,fuel_0,region_6,owner_1639,year_13,40.229,15
country_78,status_2,fuel_2,region_2,owner_501,year_6,2.637,16
country_28,status_2,fuel_2,region_2,owner_1,year_6,20.314,17
country_0,status_3,fuel_6,region_0,owner_85,year_13,257.934,18
country_66,status_0,fuel_4,region_4,owner_489,year_7,52.247,19
country_31,status_0,fuel_2,region_1,owner_61,year_8,9.996,20
country_12,status_2,fuel_0,region_0,owner_364,year_0,5.742,21
country_126,status_0,fuel_7,region_2,owner_1231,year_5,0.455,22
country_20,status_0,fuel_1,region_2,owner_55,year_5,7.291,23
country_16,status_1,fuel_9,region_0,owner_685,year_3,0.906,24
country_9,status_0,fuel_0,region_0,owner_851,year_7,15.328,25
country_94,status_0,fuel_0,region_0,owner_546,year_1,0.721,26
country_16,status_1,fuel_0,region_0,owner_27,year_18,7.005,27
country_81,status_0,fuel_0,region_3,owner_14,year_20,13.051,28
country_25,status_1,fuel_4,region_4,owner_102,year_22,247.365,29
country_0,status_0,fuel_3,region_6,owner_1310,year_10,196.568,30
country_34,status_0,fuel_0,region_2,owner_253,year_5,68.433,31
country_110,status_0,fuel_1,region_4,owner_928,year_4,15.987,32
country_11,status_1,fuel_2,region_0,owner_1298,year_11,0.325,33
country_52,status_1,fuel_2,region_4,owner_104,year_9,0.712,34
country_25,status_0,fuel_2,region_0,owner_489,year_5,1.463,35
country_85,status_1,fuel_1,region_2,owner_1207,year_19,9.058,36
country_24,status_0,fuel_1,region_1,owner_38,year_10,21.945,37
country_103,status_0,fuel_0,region_0,owner_1035,year_0,114.282,38
country_50,status_3,fuel_10,region_0,owner_1013,year_2,0.131,39
country_40,status_1,fuel_1,region_6,owner_669,year_21,26.012,40
country_47,status_0,fuel_6,region_1,owner_225,year_20,30.154,41
country_26,status_0,fuel_2,region_2,owner_726,year_1,0.284,42
country_117,status_0,fuel_3,region_0,owner_316,year_4,111.356,43
country_176,status_0,fuel_3,region_2,owner_481,year_1,2.511,44
country_47,status_0,fuel_3,region_0,owner_343,year_0,11.598,45
country_5,status_1,fuel_2,region_1,owner_40,year_9,2.997,46
country_43,status_3,fuel_0,region_6,owner_84,year_6,7.513,47
country_142,status_0,fuel_1,region_2,owner_510,year_2,19.639,48
country_8,status_0,fuel_1,region_0,owner_567,year_22,24.166,49
country_21,status_5,fuel_0,region_1,owner_403,year_1,116.832,50
country_34,status_1,fuel_9,region_4,owner_119,year_0,1.402,51
country_99,status_0,fuel_2,region_0,owner_822,year_10,0.120,52
country_18,status_2,fuel_0,region_0,owner_790,year_13,86.407,53
country_21,status_0,fuel_9,region_0,owner_370,year_3,0.132,54
country_13,status_1,fuel_5,region_0,owner_154,year_12,2.761,55
country_111,status_4,fuel_0,region_6,owner_83,year_3,70.479,56
country_51,status_0,fuel_3,region_1,owner_711,year_15,7.781,57
country_10,status_2,fuel_1,region_1,owner_84,year_4,14.159,58
country_63,status_0,fuel_3,region_1,owner_50,year_14,1.656,59
country_1,status_0,fuel_1,region_0,owner_113,year_25,19.040,60
country_111,status_2,fuel_7,region_0,owner_496,year_18,58.958,61
country_37,status_4,fuel_0,region_0,owner_566,year_12,3.470,62
country_59,status_1,fuel_0,region_0,owner_553,year_1,219.252,63
country_1,status_5,fuel_4,region_2,owner_95,year_3,0.228,64
country_99,status_0,fuel_0,region_0,owner_366,year_5,0.108,65
country_16,status_0,fuel_4,region_0,owner_8,year_6,0.280,66
country_1,status_3,fuel_1,region_1,owner_377,year_19,17.139,67
country_43,status_4,fuel_0,region_1,owner_288,year_2,0.162,68
country_113,status_0,fuel_6,region_0,owner_856,year_9,0.150,69
country_5,status_3,fuel_0,region_3,owner_112,year_1,12.945,70
country_32,status_0,fuel_0,region_5,owner_1660,year_7,3.853,71
country_34,status_1,fuel_5,region_0,owner_244,year_2,31.062,72
country_57,status_2,fuel_0,region_1,owner_529,year_7,1.558,73
country_26,status_2,fuel_5,region_7,owner_234,year_1,245.295,74
country_58,status_1,fuel_1,region_2,owner_1538,year_2,0.220,75
country_60,status_1,fuel_1,region_3,owner_1083,year_2,3.930,76
country_64,status_0,fuel_0,region_1,owner_685,year_2,104.943,77
country_15,status_0,fuel_1,region_0,owner_62,year_5,1.483,78
country_19,status_1,fuel_0,region_6,owner_503,year_1,1.234,79
country_29,status_2,fuel_3,region_1,owner_691,year_1,0.104,80
country_23,status_2,fuel_0,region_0,owner_1007,year_0,1.274,81
country_7,status_2,fuel_1,region_1,owner_802,year_21,1.474,82
country_2,status_2,fuel_3,region_0,owner_1716,year_1,8.108,83
country_23,status_1,fuel_4,region_3,owner_32,year_20,1.439,84
country_36,status_0,fuel_8,region_1,owner_16,year_5,5.395,85
country_129,status_0,fuel_0,region_3,owner_207,year_8,141.701,86
country_71,status_1,fuel_5,region_0,owner_123,year_12,24.972,87
country_26,status_1,fuel_0,region_0,owner_11,year_14,50.054,88
country_88,status_0,fuel_7,region_0,owner_63,year_13,0.105,89
country_80,status_2,fuel_6,region_0,owner_228,year_15,0.721,90
country_18,status_2,fuel_3,region_2,owner_314,year_6,236.393,91
country_33,status_2,fuel_1,region_3,owner_77,year_3,4.926,92
country_42,status_2,fuel_3,region_4,owner_1605,year_15,0.153,93
country_96,status_2,fuel_2,region_0,owner_17,year_10,0.237,94
country_144,status_0,fuel_0,region_0,owner_1173,year_0,9.259,95
country_7,status_1,fuel_0,region_0,owner_785,year_0,231.789,96
country_2,status_0,fuel_0,region_4,owner_188,year_3,0.177,97
country_68,status_3,fuel_3,region_2,owner_280,year_3,11.395,98
country_150,status_1,fuel_2,region_3,owner_986,year_21,0.839,99
country_103,status_1,fuel_2,region_0,owner_297,year_1,28.378,100
country_142,status_1,fuel_0,region_1,owner_647,year_1,2.576,101
country_42,status_0,fuel_1,region_5,owner_1326,year_6,0.193,102
country_78,status_0,fuel_6,region_1,owner_824,year_10,93.048,103
country_47,status_3,fuel_3,region_0,owner_12,year_6,0.465,104
country_117,status_1,fuel_5,region_1,owner_359,year_10,0.740,105
country_55,status_0,fuel_0,region_2,owner_1321,year_13,121.217,106
country_11,status_1,fuel_7,region_0,owner_46,year_8,0.151,107
country_0,status_0,fuel_0,region_2,owner_263,year_0,271.935,108
country_94,status_0,fuel_8,region_0,owner_328,year_21,1.858,109
country_168,status_0,fuel_1,region_5,owner_287,year_0,87.087,110
country_65,status_4,fuel_5,region_4,owner_204,year_1,91.355,111
country_7,status_5,fuel_0,region_0,owner_753,year_7,79.649,112
country_1,status_2,fuel_0,region_1,owner_31,year_0,20.333,113
country_25,status_1,fuel_2,region_4,owner_216,year_15,0.902,114
country_81,status_2,fuel_0,region_0,owner_1006,year_2,55.461,115
country_124,status_3,fuel_6,region_2,owner_450,year_9,70.938,116
country_26,status_0,fuel_1,region_0,owner_13,year_1,177.086,117
country_45,status_0,fuel_0,region_0,owner_246,year_2,71.271,118
country_43,status_1,fuel_0,region_3,owner_426,year_10,0.127,119
country_28,status_3,fuel_8,region_3,owner_618,year_6,73.344,120
country_9,status_0,fuel_0,region_3,owner_1609,year_13,57.991,121
country_26,status_3,fuel_5,region_0,owner_364,year_0,6.558,122
country_58,status_1,fuel_6,region_0,owner_532,year_3,2.278,123
country_56,status_2,fuel_1,region_0,owner_747,year_0,0.224,124
country_0,status_3,fuel_1,region_0,owner_1611,year_25,0.996,125
country_27,status_2,fuel_0,region_0,owner_807,year_18,0.208,126
country_12,status_0,fuel_0,region_0,owner_107,year_6,16.205,127
country_43,status_1,fuel_8,region_4,owner_1444,year_5,0.208,128
country_16,status_0,fuel_2,region_3,owner_1736,year_4,0.637,129
country_4,status_3,fuel_2,region_0,owner_165,year_1,99.101,130
country_32,status_2,fuel_2,region_0,owner_140,year_0,0.465,131
country_10,status_0,fuel_0,region_0,owner_759,year_0,3.131,132
country_144,status_0,fuel_1,region_0,owner_1528,year_0,0.255,133
country_105,status_2,fuel_8,region_0,owner_799,year_2,0.326,134
country_88,status_4,fuel_1,region_1,owner_312,year_8,255.766,135
country_18,status_2,fuel_2,region_0,owner_1303,year_4,0.188,136
country_1,status_0,fuel_9,region_1,owner_201,year_13,24.177,137
country_3,status_2,fuel_2,region_1,owner_26,year_0,2.315,138
country_89,status_1,fuel_0,region_2,owner_384,year_11,10.081,139
country_109,status_2,fuel_1,region_0,owner_265,year_2,0.339,140
country_1,status_3,fuel_0,region_0,owner_1212,year_2,2.349,141
country_19,status_0,fuel_2,region_4,owner_72,year_5,0.413,142
country_89,status_0,fuel_0,region_0,owner_11,year_0,15.666,143
country_38,status_0,fuel_0,region_5,owner_153,year_13,0.396,144
country_50,status_0,fuel_0,region_4,owner_235,year_20,2.296,145
country_89,status_1,fuel_3,region_1,owner_35,year_0,1.933,146
country_128,status_0,fuel_5,region_2,owner_517,year_17,0.144,147
country_92,status_0,fuel_3,region_1,owner_672,year_10,89.616,148
country_30,status_0,fuel_0,region_3,owner_376,year_0,114.545,149
country_82,status_1,fuel_0,region_0,owner_80,year_3,176.549,150
country_76,status_0,fuel_2,region_3,owner_95,year_0,0.265,151
country_105,status_1,fuel_4,region_1,owner_39,year_1,0.720,152
country_150,status_2,fuel_0,region_0,owner_73,year_13,10.759,153
country_38,status_0,fuel_0,region_1,owner_50,year_1,143.643,154
country_115,status_2,fuel_1,region_0,owner_862,year_12,96.878,155
country_67,status_0,fuel_0,region_5,owner_608,year_2,0.382,156
country_55,status_4,fuel_3,region_4,owner_1782,year_11,0.330,157
country_28,status_3,fuel_0,region_1,owner_1215,year_10,4.954,158
country_89,status_5,fuel_7,region_0,owner_294,year_7,0.155,159
country_107,status_2,fuel_1,region_3,owner_559,year_0,1.863,160
country_20,status_0,fuel_0,region_2,owner_177,year_11,32.386,161
country_55,status_2,fuel_0,region_0,owner_261,year_18,3.809,162
country_26,status_1,fuel_1,region_4,owner_1533,year_0,122.809,163
